feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples
reactor_de_alquilacion | PI-1905,108,540min (9.00h),-0.3924106571623542,0.3924106571623542,-0.034908396626147094,0.034908396626147094,117215
horno | FIC-1900-F-2-ISOBUTANO-RECICLO,132,660min (11.00h),-0.38876224144198446,0.38876224144198446,-0.18834768767847895,0.18834768767847895,116596
lab_isobutano_fresco_a_D02 | BUTILENOS,576,2880min (48.00h),0.387741253227063,0.387741253227063,0.36067504317136223,0.36067504317136223,56728
debutanizadora_y_tratamiento_de_alquilato | TI-2104,156,780min (13.00h),-0.3860965761065685,0.3860965761065685,-0.22286190147180815,0.22286190147180815,116167
reactor_de_alquilacion | FI-1059B,60,300min (5.00h),-0.38531522880847374,0.38531522880847374,-0.2793865418769364,0.2793865418769364,119181
reactor_de_alquilacion | FI-1903A,69,345min (5.75h),-0.38524106989781726,0.38524106989781726,-0.3169804462328411,0.3169804462328411,118248
despropanizadora_y_despojo | TI-2340,120,600min (10.00h),-0.3840929038983679,0.3840929038983679,-0.27267914959317946,0.27267914959317946,119175
horno | TI-2581,120,600min (10.00h),-0.3835136125391836,0.3835136125391836,-0.27461219292412176,0.27461219292412176,116843
lab_isobutano_fresco_a_D02 | ISOBUTANO,576,2880min (48.00h),-0.3792176978273264,0.3792176978273264,-0.45402141609886254,0.45402141609886254,56728
tratadores_e_intercambiadores_de_butano | TI-1975,0,0min (0.00h),-0.37606353264994813,0.37606353264994813,-0.33967734832224067,0.33967734832224067,118193
horno | TI-2582,108,540min (9.00h),-0.37559262950446876,0.37559262950446876,-0.18009101950766468,0.18009101950766468,115927
tratadores_e_intercambiadores_de_butano | TI-1976,36,180min (3.00h),-0.37442891850445126,0.37442891850445126,-0.33231443419210294,0.33231443419210294,119065
isostripper | PI-1092B,120,600min (10.00h),-0.37321205317031336,0.37321205317031336,0.1601979539931158,0.1601979539931158,119074
debutanizadora_y_tratamiento_de_alquilato | PIC-2124,144,720min (12.00h),-0.37170219416187594,0.37170219416187594,-0.07676612383520309,0.07676612383520309,117370
horno | PIC-1662,432,2160min (36.00h),-0.37070794791320155,0.37070794791320155,0.015763530193560957,0.015763530193560957,92730
reactor_de_alquilacion | FIC-1900,144,720min (12.00h),-0.3705101341846308,0.3705101341846308,-0.18039220471609554,0.18039220471609554,117649
isostripper | TI-1112,120,600min (10.00h),-0.3696323127601634,0.3696323127601634,-0.13586981772894655,0.13586981772894655,119152
horno | FI-1501B,120,600min (10.00h),-0.3682792023150754,0.3682792023150754,-0.1505286169931105,0.1505286169931105,118074
horno | FIC-1502A,120,600min (10.00h),-0.36668836285757256,0.36668836285757256,-0.15415168853172181,0.15415168853172181,118015
tratadores_e_intercambiadores_de_butano | FIC-2121,7,35min (0.58h),-0.36643822231965456,0.36643822231965456,-0.35119715058003403,0.35119715058003403,118558
tratadores_e_intercambiadores_de_butano | TI-1977,33,165min (2.75h),-0.3657250229119586,0.3657250229119586,-0.21079829768595298,0.21079829768595298,117963
reactor_de_alquilacion | LI-1072,69,345min (5.75h),-0.364285084251444,0.364285084251444,0.01366465254880125,0.01366465254880125,118093
horno | PI-1661C,276,1380min (23.00h),-0.36220871765327856,0.36220871765327856,-0.0036472262794798238,0.0036472262794798238,95446
horno | TI-2584,108,540min (9.00h),-0.3621086601371222,0.3621086601371222,-0.20037700882903275,0.20037700882903275,116879
horno | PI-1661A,276,1380min (23.00h),-0.35983820486013285,0.35983820486013285,-0.00198426786626066,0.00198426786626066,95439
horno | PI-1661A.1,276,1380min (23.00h),-0.35983820486013285,0.35983820486013285,-0.00198426786626066,0.00198426786626066,95439
tratadores_e_intercambiadores_de_butano | TI-1962,33,165min (2.75h),-0.35920516578440403,0.35920516578440403,-0.5096886266917141,0.5096886266917141,118007
debutanizadora_y_tratamiento_de_alquilato | TI-1228,48,240min (4.00h),-0.35863901194612147,0.35863901194612147,-0.24001519895245207,0.24001519895245207,116575
horno | PI-1661B,288,1440min (24.00h),-0.3583533921188244,0.3583533921188244,-0.012774435187868319,0.012774435187868319,94553
despropanizadora_y_despojo | PI-2322B,120,600min (10.00h),-0.3552944842918238,0.3552944842918238,-0.232152632740651,0.232152632740651,100838
despropanizadora_y_despojo | TIC-2323,240,1200min (20.00h),-0.3550004377628049,0.3550004377628049,-0.13806912066962562,0.13806912066962562,107669
isostripper | TI-1087,51,255min (4.25h),-0.35488393345428193,0.35488393345428193,-0.10811397795493634,0.10811397795493634,119159
isostripper | TI-1098,108,540min (9.00h),-0.35446280897232907,0.35446280897232907,0.13321347008657658,0.13321347008657658,119099
tratadores_e_intercambiadores_de_butano | TI-1978,48,240min (4.00h),-0.35122960098148887,0.35122960098148887,-0.2251526960884145,0.2251526960884145,118156
